Poop Vial ID,Field Poop Vial ID,Duplicate Sample?,Poop Time,FCM Analyzed?,FAM Analyzed?,Sample extracted if Two Samples,Extra Fecal Sample?,MeOH extraction volume (uL),EIA Lab,EIA done by,Date Cort EIA,Date Androgen EIA,Cort Dilution,Androgen Dilution,Cort Volume used,Androgen Volume Used,Cort Concentration,Cort CV,Cort Repeat?,Date Cort repeated,Cort Repeat Dilution,Cort Repeat Volume Used,Repeat Cort Concentration,Repeat Cort CV,Cort Final Concentration,Androgen Final Concentration,Androgen CV,Cort EIA Plate ID Run 1,Cort EIA Plate ID Repeat,Androgen EIA Plate ID,Cort High CV?,Androgen High CV?,BJD Repeated for Cort,,,,,,,,,,,,,,,,,,
P3006,,,,Yes,Yes,,,1000,Boonstra,BJD,1-Jun-11,,32.33333333,9,5.6,10,34.286,24.9,Yes,,,,,,34.286,12.682,,C.2011.56,,T.LTGrid.2008.12,Y,,Y,,,,,,,,,,,,,,,,,,
00001,,,,Yes,Yes,,,1000,Boonstra,BJD,22-May-11,5/12/11,32.33333333,9,5.6,10,31.311,3.2,,,,,,,31.311,9.815,13.4,C.2011.7,,T.2011.3,,,,,,,,,,,,,,,,,,,,,
1-06,,,1048,Yes,Yes,,,1000,Boonstra,BJD,17-Apr-09,,32.33333333,9,5.6,10,53.409,,,,,,,,53.409,37.862,,C.LTGrid.2008.14,,T.LTGrid.2008.16,,,,,,,,,,,,,,,,,,,,,
 1-07,,,,Yes,Yes,,,1000,Boonstra,BJD,1-Apr-09,,9,9,1.6,10,76.906,,,,,,,,76.906,13.601,,C.2007.1,,T.2007.1,,,,,,,,,,,,,,,,,,,,,
 10-06,,,1040,Yes,Yes,,,1000,Boonstra,BJD,17-Apr-09,,32.33333333,9,5.6,10,33.422,,,,,,,,33.422,35.194,,C.LTGrid.2008.14,,T.LTGrid.2008.16,,,,,,,,,,,,,,,,,,,,,
 10-07,,,,Yes,Yes,,,1000,Boonstra,BJD,1-Apr-09,,9,9,1.6,10,64.552,,,,,,,,64.552,10.066,,C.2007.1,,T.2007.1,,,,,,,,,,,,,,,,,,,,,
 11-06,,,,Yes,Yes,,,1000,Boonstra,BJD,17-Apr-09,,32.33333333,9,5.6,10,46.529,,,,,,,,46.529,17.209,,C.LTGrid.2008.14,,T.LTGrid.2008.16,,,,,,,,,,,,,,,,,,,,,
 11-07,,,944,Yes,Yes,,,1000,Boonstra,BJD,1-Apr-09,,9,9,1.6,10,44.35,,,,,,,,44.35,8.052,,C.2007.1,,T.2007.1,,,,,,,,,,,,,,,,,,,,,
 12-06,,,,Yes,Yes,,,1000,Boonstra,BJD,17-Apr-09,,32.33333333,9,5.6,10,58.233,,,,,,,,58.233,24.97,,C.LTGrid.2008.14,,T.LTGrid.2008.16,,,,,,,,,,,,,,,,,,,,,
 12-07,,,1147,Yes,Yes,,,1000,Boonstra,BJD,1-Apr-09,,9,9,1.6,10,30.35,,,,,,,,30.35,5.741,,C.2007.1,,T.2007.1,,,,,,,,,,,,,,,,,,,,,
