"","litter_id","year","grid","squirrel_id","ln","part_date","part_source"
"296",669,1990,"KL",1944,1,133,"weight"
"297",675,1990,"LL",754,1,136,"trap"
"298",677,1990,"LL",826,1,147,"trap"
"299",679,1990,"LL",854,1,152,"field"
"300",680,1990,"LL",1026,1,NA,NA
"301",681,1990,"LL",1032,1,159,"weight"
"302",682,1990,"LL",1041,1,157,"weight"
"303",683,1990,"LL",1042,1,NA,NA
"304",684,1990,"LL",1062,1,147,"field"
"305",686,1990,"LL",1144,1,139,"trap"
"306",688,1990,"LL",1186,1,120,"field"
"307",689,1990,"LL",1192,1,153,"weight"
"308",702,1990,"LL",1570,1,127,"weight"
"309",704,1990,"LL",1576,1,154,"trap"
"310",710,1990,"LL",1886,1,143,"field"
"311",711,1990,"LL",1925,1,140,"field"
"312",722,1990,"SU",835,1,127,"weight"
"313",723,1990,"SU",849,1,156,"weight"
"314",725,1990,"SU",872,1,155,"field"
"315",726,1990,"SU",879,1,162,"weight"
"316",727,1990,"SU",899,1,146,"trap"
"317",728,1990,"SU",1148,1,140,"field"
"318",733,1990,"SU",1278,1,155,"field"
"319",735,1990,"SU",1299,1,137,"weight"
"320",738,1990,"SU",1355,1,138,"weight"
"321",739,1990,"SU",1472,1,124,"field"
"322",745,1990,"SU",1693,1,118,"field"
"323",751,1990,"SU",2295,1,143,"trap"
"324",752,1990,"SU",4850,1,141,"weight"
"325",773,1991,"KL",1181,1,146,"weight"
"326",775,1991,"KL",1200,1,125,"trap"
"327",777,1991,"KL",1218,1,NA,NA
"328",778,1991,"KL",1219,1,128,"weight"
"329",779,1991,"KL",1220,1,111,"weight"
"330",780,1991,"KL",1319,1,122,"weight"
"331",782,1991,"KL",1321,1,127,"weight"
"332",783,1991,"KL",1397,1,118,"weight"
"333",785,1991,"KL",1574,1,121,"weight"
"334",786,1991,"KL",1740,1,125,"weight"
"335",787,1991,"KL",1890,1,133,"trap"
"336",788,1991,"KL",1944,1,115,"weight"
"337",791,1991,"LL",1180,1,NA,NA
"338",792,1991,"LL",1186,1,157,"weight"
"339",793,1991,"LL",1192,1,139,"weight"
"340",794,1991,"LL",1222,1,121,"weight"
"341",795,1991,"LL",1245,1,156,"weight"
"342",796,1991,"LL",1265,1,118,"weight"
"343",797,1991,"LL",1268,1,148,"weight"
"344",800,1991,"LL",1348,1,148,"weight"
"345",801,1991,"LL",1394,1,137,"weight"
"346",802,1991,"LL",1401,1,117,"weight"
"347",806,1991,"LL",1492,1,140,"field"
"348",807,1991,"LL",1531,1,NA,NA
"349",808,1991,"LL",1570,1,151,"weight"
"350",809,1991,"LL",1571,1,148,"weight"
"351",810,1991,"LL",1576,1,151,"weight"
"352",812,1991,"LL",1589,1,131,"weight"
"353",813,1991,"LL",1651,1,134,"weight"
"354",814,1991,"LL",1731,1,144,"field"
"355",815,1991,"LL",1735,1,141,"weight"
"356",816,1991,"LL",1831,1,127,"weight"
"357",817,1991,"LL",1886,1,142,"field"
"358",818,1991,"LL",1896,1,133,"weight"
"359",819,1991,"LL",1925,1,120,"weight"
"360",821,1991,"LL",1929,1,133,"weight"
"361",822,1991,"LL",1932,1,128,"weight"
"362",825,1991,"LL",2419,1,133,"weight"
"363",827,1991,"LL",2460,1,NA,NA
"364",829,1991,"LL",6428,1,151,"weight"
"365",832,1991,"SU",1148,1,129,"weight"
"366",833,1991,"SU",1164,1,121,"weight"
"367",834,1991,"SU",1178,1,123,"weight"
"368",835,1991,"SU",1195,1,129,"weight"
"369",836,1991,"SU",1203,1,129,"weight"
"370",839,1991,"SU",1259,1,136,"weight"
"371",840,1991,"SU",1266,1,127,"weight"
"372",841,1991,"SU",1271,1,121,"weight"
"373",842,1991,"SU",1278,1,153,"weight"
"374",843,1991,"SU",1284,1,122,"weight"
"375",845,1991,"SU",1295,1,115,"weight"
"376",846,1991,"SU",1299,1,117,"weight"
"377",847,1991,"SU",1304,1,102,"field"
"378",852,1991,"SU",1472,1,108,"weight"
"379",853,1991,"SU",1501,1,121,"weight"
"380",855,1991,"SU",1516,1,120,"weight"
"381",857,1991,"SU",1519,1,117,"field"
"382",858,1991,"SU",1579,1,127,"weight"
"383",862,1991,"SU",1689,1,121,"weight"
"384",863,1991,"SU",1693,1,114,"field"
"385",864,1991,"SU",1935,1,116,"weight"
"386",867,1991,"SU",2119,1,119,"weight"
"387",869,1991,"SU",2295,1,121,"weight"
"388",892,1992,"KL",1319,1,119,"field"
"389",893,1992,"KL",1320,1,138,"weight"
"390",895,1992,"KL",1397,1,137,"weight"
"391",896,1992,"KL",1421,1,NA,NA
"392",898,1992,"KL",1438,1,164,"weight"
"393",899,1992,"KL",1488,1,169,"weight"
"394",900,1992,"KL",1574,1,NA,NA
"395",904,1992,"KL",1591,1,137,"field"
"396",905,1992,"KL",1612,1,NA,NA
"397",908,1992,"KL",1740,1,144,"field"
"398",909,1992,"KL",1890,1,NA,NA
"399",910,1992,"KL",1891,1,NA,NA
"400",911,1992,"KL",1944,1,NA,NA
"401",914,1992,"KL",2367,1,176,"weight"
"402",916,1992,"KL",2452,1,150,"weight"
"403",917,1992,"KL",2453,1,168,"weight"
"404",918,1992,"KL",2493,1,139,"field"
"405",919,1992,"KL",2526,1,175,"weight"
"406",920,1992,"KL",2544,1,164,"weight"
"407",921,1992,"KL",3525,1,169,"weight"
"408",922,1992,"KL",3618,1,160,"weight"
"409",923,1992,"KL",4108,1,163,"weight"
"410",928,1992,"LL",1293,1,169,"field"
"411",932,1992,"LL",1348,1,157,"weight"
"412",933,1992,"LL",1394,1,164,"trap"
"413",934,1992,"LL",1401,1,155,"weight"
"414",935,1992,"LL",1402,1,136,"weight"
"415",936,1992,"LL",1404,1,163,"weight"
"416",938,1992,"LL",1413,1,160,"weight"
"417",939,1992,"LL",1422,1,162,"weight"
"418",940,1992,"LL",1479,1,170,"weight"
"419",942,1992,"LL",1492,1,138,"trap"
"420",943,1992,"LL",1531,1,172,"weight"
"421",944,1992,"LL",1570,1,159,"weight"
"422",945,1992,"LL",1571,1,NA,NA
"423",947,1992,"LL",1576,1,143,"trap"
"424",948,1992,"LL",1578,1,139,"field"
"425",949,1992,"LL",1589,1,145,"weight"
"426",950,1992,"LL",1593,1,177,"weight"
"427",951,1992,"LL",1651,1,152,"weight"
"428",952,1992,"LL",1729,1,153,"field"
"429",953,1992,"LL",1731,1,133,"trap"
"430",955,1992,"LL",1735,1,143,"weight"
"431",956,1992,"LL",1831,1,149,"weight"
"432",958,1992,"LL",1886,1,152,"weight"
"433",959,1992,"LL",1896,1,151,"weight"
"434",960,1992,"LL",1925,1,NA,NA
"435",962,1992,"LL",1929,1,139,"weight"
"436",963,1992,"LL",1932,1,119,"field"
"437",965,1992,"LL",2152,1,166,"weight"
"438",967,1992,"LL",2371,1,162,"trap"
"439",969,1992,"LL",2385,1,155,"trap"
"440",971,1992,"LL",2419,1,NA,NA
"441",972,1992,"LL",2456,1,146,"weight"
"442",974,1992,"LL",2460,1,127,"weight"
"443",976,1992,"LL",2497,1,NA,NA
"444",977,1992,"LL",2538,1,192,"field"
"445",978,1992,"LL",2782,1,170,"weight"
"446",979,1992,"LL",3148,1,145,"weight"
"447",981,1992,"LL",3256,1,155,"weight"
"448",982,1992,"LL",3373,1,152,"field"
"449",983,1992,"LL",6428,1,153,"weight"
"450",989,1992,"SU",1271,1,118,"weight"
"451",995,1992,"SU",1295,1,139,"weight"
"452",996,1992,"SU",1299,1,126,"weight"
"453",997,1992,"SU",1304,1,134,"weight"
"454",999,1992,"SU",1328,1,158,"weight"
"455",1000,1992,"SU",1352,1,148,"weight"
"456",1002,1992,"SU",1355,1,129,"weight"
"457",1003,1992,"SU",1361,1,135,"weight"
"458",1004,1992,"SU",1417,1,NA,NA
"459",1007,1992,"SU",1472,1,146,"weight"
"460",1010,1992,"SU",1501,1,119,"weight"
"461",1012,1992,"SU",1503,1,NA,NA
"462",1014,1992,"SU",1516,1,151,"weight"
"463",1020,1992,"SU",1617,1,158,"weight"
"464",1022,1992,"SU",1620,1,135,"weight"
"465",1023,1992,"SU",1637,1,140,"weight"
"466",1025,1992,"SU",1660,1,171,"weight"
"467",1026,1992,"SU",1688,1,131,"field"
"468",1027,1992,"SU",1689,1,144,"weight"
"469",1028,1992,"SU",1693,1,153,"weight"
"470",1030,1992,"SU",1727,1,150,"weight"
"471",1031,1992,"SU",1911,1,154,"weight"
"472",1032,1992,"SU",1935,1,124,"weight"
"473",1034,1992,"SU",1937,1,124,"weight"
"474",1036,1992,"SU",2098,1,151,"weight"
"475",1037,1992,"SU",2119,1,143,"weight"
"476",1039,1992,"SU",2227,1,NA,NA
"477",1041,1992,"SU",2295,1,163,"weight"
"478",1042,1992,"SU",2388,1,149,"weight"
"479",1043,1992,"SU",2409,1,NA,NA
"480",1047,1992,"SU",2475,1,126,"weight"
"481",1048,1992,"SU",2477,1,162,"weight"
"482",1049,1992,"SU",2533,1,161,"weight"
"483",1050,1992,"SU",2697,1,148,"field"
"484",1051,1992,"SU",2757,1,164,"weight"
"485",1052,1992,"SU",3160,1,NA,NA
"486",1053,1992,"SU",3168,1,143,"weight"
"487",1072,1993,"KL",1680,1,102,"field"
"488",1076,1993,"KL",1740,1,117,"weight"
"489",1078,1993,"KL",1888,1,120,"weight"
"490",1080,1993,"KL",1890,1,NA,NA
"491",1083,1993,"KL",1891,1,107,"weight"
"492",1085,1993,"KL",1898,1,NA,NA
"493",1087,1993,"KL",1944,1,NA,NA
"494",1089,1993,"KL",1956,1,106,"weight"
"495",1091,1993,"KL",2112,1,NA,NA
"496",1092,1993,"KL",2367,1,159,"weight"
"497",1093,1993,"KL",2386,1,190,"weight"
"498",1094,1993,"KL",2427,1,112,"weight"
"499",1095,1993,"KL",2452,1,107,"weight"
"500",1097,1993,"KL",2453,1,NA,NA
"501",1099,1993,"KL",2493,1,98,"field"
"502",1101,1993,"KL",2513,1,118,"weight"
"503",1102,1993,"KL",2526,1,100,"weight"
"504",1104,1993,"KL",2544,1,100,"weight"
"505",1105,1993,"KL",2756,1,142,"field"
"506",1106,1993,"KL",3159,1,189,"weight"
"507",1107,1993,"KL",3525,1,NA,NA
"508",1109,1993,"KL",3618,1,113,"weight"
"509",1111,1993,"KL",3750,1,104,"field"
"510",1112,1993,"KL",4108,1,113,"weight"
"511",1114,1993,"KL",4245,1,123,"weight"
"512",1116,1993,"LL",1651,1,98,"weight"
"513",1117,1993,"LL",1729,1,106,"weight"
"514",1119,1993,"LL",1735,1,108,"weight"
"515",1121,1993,"LL",1831,1,101,"weight"
"516",1122,1993,"LL",1886,1,116,"weight"
"517",1125,1993,"LL",1896,1,NA,NA
"518",1128,1993,"LL",1925,1,133,"field"
"519",1129,1993,"LL",1927,1,123,"weight"
"520",1130,1993,"LL",1929,1,NA,NA
"521",1132,1993,"LL",1932,1,100,"weight"
"522",1136,1993,"LL",2128,1,126,"field"
"523",1138,1993,"LL",2152,1,118,"weight"
"524",1142,1993,"LL",2288,1,128,"weight"
"525",1143,1993,"LL",2327,1,NA,NA
"526",1144,1993,"LL",2371,1,118,"weight"
"527",1146,1993,"LL",2385,1,102,"weight"
"528",1148,1993,"LL",2419,1,126,"weight"
"529",1150,1993,"LL",2456,1,100,"weight"
"530",1151,1993,"LL",2458,1,156,"weight"
"531",1152,1993,"LL",2459,1,159,"field"
"532",1153,1993,"LL",2460,1,96,"field"
"533",1155,1993,"LL",2463,1,173,"field"
"534",1156,1993,"LL",2497,1,99,"weight"
"535",1158,1993,"LL",2509,1,121,"weight"
"536",1159,1993,"LL",2538,1,106,"weight"
"537",1165,1993,"LL",2782,1,104,"weight"
"538",1167,1993,"LL",3148,1,118,"field"
"539",1170,1993,"LL",3256,1,105,"weight"
"540",1171,1993,"LL",3373,1,129,"weight"
"541",1174,1993,"LL",3637,1,127,"weight"
"542",1177,1993,"SU",1688,1,104,"weight"
"543",1178,1993,"SU",1689,1,93,"field"
"544",1180,1993,"SU",1727,1,106,"weight"
"545",1181,1993,"SU",1830,1,NA,NA
"546",1183,1993,"SU",1911,1,124,"weight"
"547",1184,1993,"SU",1935,1,101,"weight"
"548",1187,1993,"SU",1937,1,98,"weight"
"549",1189,1993,"SU",2098,1,107,"weight"
"550",1191,1993,"SU",2119,1,100,"weight"
"551",1193,1993,"SU",2227,1,98,"weight"
"552",1196,1993,"SU",2295,1,99,"weight"
"553",1198,1993,"SU",2388,1,NA,NA
"554",1200,1993,"SU",2409,1,103,"weight"
"555",1202,1993,"SU",2411,1,107,"weight"
"556",1205,1993,"SU",2475,1,90,"weight"
"557",1206,1993,"SU",2477,1,94,"weight"
"558",1207,1993,"SU",2478,1,124,"weight"
"559",1209,1993,"SU",2519,1,NA,NA
"560",1211,1993,"SU",2529,1,193,"weight"
"561",1212,1993,"SU",2533,1,97,"weight"
"562",1214,1993,"SU",2660,1,121,"weight"
"563",1215,1993,"SU",2672,1,194,"weight"
"564",1216,1993,"SU",2697,1,126,"weight"
"565",1217,1993,"SU",2757,1,95,"weight"
"566",1219,1993,"SU",3160,1,138,"weight"
"567",1221,1993,"SU",3168,1,93,"weight"
"568",1245,1994,"KL",1955,1,94,"weight"
"569",1246,1994,"KL",1956,1,79,"field"
"570",1249,1994,"KL",2175,1,102,"weight"
"571",1253,1994,"KL",2336,1,97,"field"
"572",1254,1994,"KL",2360,1,110,"weight"
"573",1255,1994,"KL",2367,1,88,"weight"
"574",1256,1994,"KL",2368,1,94,"weight"
"575",1257,1994,"KL",2369,1,93,"weight"
"576",1258,1994,"KL",2386,1,94,"weight"
"577",1259,1994,"KL",2427,1,84,"weight"
"578",1260,1994,"KL",2452,1,100,"weight"
"579",1261,1994,"KL",2453,1,81,"weight"
"580",1262,1994,"KL",2493,1,91,"weight"
"581",1263,1994,"KL",2495,1,96,"field"
"582",1264,1994,"KL",2513,1,61,"field"
"583",1265,1994,"KL",2526,1,97,"weight"
