"","squirrel_id","litter_id","grid","year","mean_growth","cones_tm1","spr_density","age","bucket","bucket2","ls","std_Growt","std_LS","part_date","covariance","grid_year","scaled_part_date"
"49",19740,5818,"SU",2014,1.29333333333333,2.06010515786152,1.48652053413958,1,0,0,3,-0.961013213197693,0,178,-0.0891381268249735,"SU_2014",1.73512294350362
"50",19740,7907,"SU",2017,1.07307692307692,0.419754976854069,1.91484001007811,4,0,0,3,-1.60049929012022,0.464485583222015,145,-0.0926076635647738,"SU_2017",1.91147515636602
"51",19742,6524,"SU",2016,2.18260869565217,0,2.14159737969262,3,0,0,2,1.02399234387938,-0.679904502973937,98,-0.114598217279611,"SU_2016",-0.871017123973085
"52",19742,7908,"SU",2017,1.45185185185185,0.419754976854069,1.91484001007811,4,0,0,3,-0.154161290529713,0.464485583222015,126,-0.112081890733939,"SU_2017",-0.15204916016548
"53",19764,6140,"KL",2015,2.09130434782609,5.01362327092466,3.5525321239607,2,0,0,3,0.5267878155703,0.111093528847988,84,-0.112055792265923,"KL_2015",0.335025777176627
"54",19764,6525,"KL",2016,1.848,0,3.04862685815067,3,0,0,2,0.4789175594962,-0.47708960455284,110,-0.119288896345396,"KL_2016",0.247644789133822
"55",19764,7744,"KL",2017,1.34166666666667,0.314072879827348,2.54472159234064,4,0,0,3,-0.501319060855894,0.233938608885478,136,-0.117014744932149,"KL_2017",0.665904707590304
"56",19764,8709,"KL",2018,1.31309523809524,2.04476444590038,2.19198790627362,5,0,0,3,-0.774188640187516,0.454968652630072,112,-0.117038130101274,"KL_2018",-0.656507063649885
"57",19766,6203,"KL",2015,1.84130434782609,5.01362327092466,3.5525321239607,2,0,0,4,-0.0618394088335201,1.22202881732787,90,-0.112423327953465,"KL_2015",1.17471063642944
"58",19766,7745,"KL",2017,1.44166666666667,0.314072879827348,2.54472159234064,4,0,0,3,-0.180900866489674,0.233938608885478,127,-0.110465592087638,"KL_2017",-0.295957647817914
"59",19767,5924,"KL",2014,0.968181818181818,2.58606650714206,1.66288737717309,1,0,0,3,-1.64568164690028,-0.495349842958804,162,-0.0900012785987438,"KL_2014",1.3930219431536
"60",19767,6096,"KL",2015,1.71730769230769,5.01362327092466,3.5525321239607,2,0,0,4,-0.353790637526117,1.22202881732787,72,-0.0904578434761653,"KL_2015",-1.344343941329
"61",19769,5931,"KL",2014,1.45344827586207,2.58606650714206,1.66288737717309,1,0,0,4,-0.455179417685894,0.538423742346526,142,-0.0899312913069207,"KL_2014",0.387748375929352
"62",19769,6526,"KL",2016,1.7695652173913,0,3.04862685815067,3,0,0,3,0.267004035262047,1.03369414319782,111,-0.0822783312958059,"KL_2016",0.383849423157425
"63",19809,8041,"KL",2017,1.598,0.314072879827348,2.54472159234064,4,0,0,2,0.320019577369517,-1.2365326469661,122,-0.094207603450534,"KL_2017",-0.830325623044702
"64",1200,775,"KL",1991,2.52083333333333,2.25078386855408,0.781053162005543,2,0,0,2,1.1654273434899,-0.870388279778489,125,-0.11721176800419,"KL_1991",0.132671625361331
